SR_NO,UID,NAME,URL,CATEGORIES,APPLICATION,SERIES,LENGTH,WIDTH,INSPIRATION,FINISH,COLOR,R,G,B,SQ.FT.,MINIMAL,BOHEMIAN,ASIAN,ART_MODERNE,FRENCH_COUNTRY,INDUSTRIAL,COASTAL_TROPICAL
687,1687,SERA STONE COPPER,https://varmora.com/product/floor-tiles/sera-stone-copper/, GVT, WALL & FLOOR, EMRALD,600,600, CEMENT, RUSTIC MATT, COPPER,0.73,0.57,0.44,15.5,1,0,0,0,0,0,0
688,1688,SERA STONE CREMA,https://varmora.com/product/floor-tiles/sera-stone-crema/, GVT, WALL & FLOOR, EMRALD,600,600, CEMENT, RUSTIC MATT, CREAM,0.86,0.82,0.78,15.5,1,0,0,0,0,0,0
690,1690,SERA STONE NERO,https://varmora.com/product/floor-tiles/sera-stone-nero/, GVT, WALL & FLOOR, EMRALD,600,600, CEMENT, RUSTIC MATT, NERO,0.51,0.48,0.47,15.5,1,0,0,0,0,0,0
697,1697,SEVILLA,https://varmora.com/product/floor-tiles/sevilla/, VITRIFIED, WALL & FLOOR, SASSO,600,600, MARBLE, GLOSSY, IVORY,0.9,0.86,0.77,15.5,0,0,0,1,0,0,0
698,1698,SIFON BIANCO,https://varmora.com/product/floor-tiles/sifon-bianco/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, BIANCO,0.93,0.9,0.85,15.5,1,0,0,0,0,0,0
699,1699,SIFON DOVE,https://varmora.com/product/floor-tiles/sifon-dove/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, DOVE,0.89,0.88,0.84,15.5,1,0,0,0,0,0,0
700,1700,SIFON GRISS,https://varmora.com/product/floor-tiles/sifon-griss/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, GRISS,0.77,0.74,0.68,15.5,1,0,0,0,0,0,0
701,1701,SIFON TUSK,https://varmora.com/product/floor-tiles/sifon-tusk/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, TUSK,0.94,0.91,0.87,15.5,1,0,0,0,0,0,0
727,1727,SPACTROM BIANCO,https://varmora.com/product/floor-tiles/spactrom-bianco/, GVT, WALL & FLOOR, ATLAS,600,600, MARBLE, GLOSSY, BIANCO,0.93,0.92,0.92,15.5,0,1,0,0,0,0,0
728,1728,SPACTROM DOVE,https://varmora.com/product/floor-tiles/spactrom-dove/, GVT, WALL & FLOOR, ATLAS,600,600, MARBLE, GLOSSY, DOVE,0.84,0.83,0.82,15.5,0,1,0,0,0,0,0
731,1731,SPENDID BEIGE,https://varmora.com/product/floor-tiles/spendid-beige/, GVT, WALL & FLOOR, EMRALD,600,600, CEMENT, MATT, BEIGE,0.84,0.75,0.69,15.5,0,0,0,1,0,0,0
732,1732,SPENDID BROWN,https://varmora.com/product/floor-tiles/spendid-brown/, GVT, WALL & FLOOR, EMRALD,600,600, CEMENT, MATT, BROWN,0.52,0.4,0.35,15.5,0,0,0,1,0,0,0
734,1734,SPENDID GREY,https://varmora.com/product/floor-tiles/spendid-grey/, GVT, WALL & FLOOR, EMRALD,600,600, CEMENT, MATT, GREY,0.79,0.73,0.72,15.5,0,0,0,1,0,0,0
736,1736,SPENDID NATURAL,https://varmora.com/product/floor-tiles/spendid-natural/, GVT, WALL & FLOOR, EMRALD,600,600, CEMENT, MATT, NATURAL,0.55,0.48,0.46,15.5,0,0,0,1,0,0,0
737,1737,SPERENZA CORAL,https://varmora.com/product/floor-tiles/sperenza-coral/, DOUBLE CHARGE, WALL & FLOOR, SPERENZA,600,600, MARBLE, GLOSSY, PINK,0.97,0.93,0.9,15.5,1,0,0,0,0,0,0
738,1738,SPERENZA GREEN,https://varmora.com/product/floor-tiles/sperenza-green/, DOUBLE CHARGE, WALL & FLOOR, SPERENZA,600,600, MARBLE, GLOSSY, GREEN,0.86,0.88,0.82,15.5,0,0,0,0,1,0,1
